C000588423	EC 6.4.1.2
C000588440	EC 2.7.11.1
C000588609	EC 4.2.1.11
C000588630	EC 3.4.25.1
C000588719	EC 2.7.10.1
C000588782	EC 1.11.1.9
C000588845	EC 2.3.2.23
C000588865	EC 3.1.3.48
C000588866	EC 2.7.10.1
C000588909	EC 3.1.3.16
C000588917	EC 3.1.1.4
C000588924	EC 2.7.1.14
C000588954	EC 1.14.19.3
C000588975	EC 2.7.7.6
C000588989	EC 2.3.2.26
C000589007	EC 3.6.5.2
C000589035	EC 3.1.4.35
C000589116	EC 2.7.7.4
C000589117	EC 1.1.1.95
C000589120	EC 3.2.1.68
C000589121	EC 3.2.1.68
C000589188	EC 3.4.25.1
C000589222	EC 2.7.11.1
C000589376	EC 3.6.5.2
C000589475	EC 1.6.3.1
C000589477	EC 3.1.3.16
C000589598	EC 2.3.1.48
C000589599	EC 2.1.1.43
C000589751	EC 3.4.19.12
C000589752	EC 3.4.21.92
C000589753	EC 3.6.1.3
C000589772	EC 2.3.2.24
C000589774	EC 2.4.1.41
C000589775	EC 3.6.5.2
C000589971	EC 7.2.2.10
C000590648	EC 2.7.11.1
C000590683	EC 3.5.1.98
C000590795	EC 3.1.3.48
C000590797	EC 3.5.3.15
C000590840	EC 2.4.1.165
C000591005	EC 3.1.3.16
C000591055	EC 3.1.3.48
C000591216	EC 2.3.2.27
C000591243	EC 2.3.2.27
C000591259	EC 2.7.10.1
C000591463	EC 2.7.11.1
C000591483	EC 2.3.2.26
C000591484	EC 2.7.11.1
C000591485	EC 2.7.11.1
C000591490	EC 6.3.2.19
C000591565	EC 3.4.21.89
C000591598	EC 3.6.1.3
C000591618	EC 2.7.11.30
C000591654	EC 2.7.11.22
C000591692	EC 2.7.11.1
C000591696	EC 3.4.21.92
C000591756	EC 3.6.3.10
C000591800	EC 6.1.1.3
C000591805	EC 2.7.11.1
C000591841	EC 3.1.1.32
C000591845	EC 3.4.19.12
C000591994	EC 2.3.2.27
C000592056	EC 2.1.1.43
C000592113	EC 7.1.1.2
C000592119	EC 3.5.4.6
C000592126	EC 2.7.11.1
C000592232	EC 2.3.1.23
C000592233	EC 2.7.7.1
C000592341	EC 3.1.3.48
C000592374	EC 3.1.1.4
C000592375	EC 3.1.1.4
C000592404	EC 3.4.21.59
C000592507	EC 3.4.19.12
C000592551	EC 1.14.14.1
C000592579	EC 2.7.7.1
C000592619	EC 1.8.1.4
C000592620	EC 1.8.1.4
C000592660	EC 5.2.1.8
C000592695	EC 2.7.11.1
C000592774	EC 3.1.3.16
C000592875	EC 2.7.10.1
C000592903	EC 2.7.11.1
C000592904	EC 2.7.10.2
C000592954	EC 3.4.19.12
C000592971	EC 3.1.3.16
C000593028	EC 3.6.4.13
C000593113	EC 3.6.4.2
C000593198	EC 2.1.1.6
C000593217	EC 2.7.11.17
C000593218	EC 2.7.11.17
C000593240	EC 3.2.1.51
C000593243	EC 3.4.25.1
C000593261	EC 2.7.12.2
C000593273	EC 3.6.4.2
C000593292	EC 2.7.11.18
C000593293	EC 2.1.1.43
C000593330	EC 2.7.10.1
C000593354	EC 6.2.1.5
C000593355	EC 3.1.3.48
C000593373	EC 2.6.1.27
C000593374	EC 1.6.3.1
C000593375	EC 1.6.3.1
C000593380	EC 3.4.11.1
C000593420	EC 3.4.17.1
C000593601	EC 3.4.19.12
C000593602	EC 2.7.11.25
C000593617	EC 2.7.11.1
C000593618	EC 2.3.2.27
C000593690	EC 2.7.11.22
C000593696	EC 2.7.7.19
C000593715	EC 3.6.4.13
C000593728	EC 3.1.3.16
C000593849	EC 1.13.11.18
C000593862	EC 2.7.11.1
C000593969	EC 2.7.10.1
C000593970	EC 2.7.10.1
C000593996	EC 6.3.2.2
C000594000	EC 2.5.1.18
C000594050	EC 2.1.1.319
C000594053	EC 1.6.99.3
C000594130	EC 1.14.14.1
C000594250	EC 2.7.1.91
C000594262	EC 3.6.5.1
C000594349	EC 2.3.2.27
C000594352	EC 1.9.3.1
C000594356	EC 2.7.11.1
C000594391	EC 1.9.3.1
C000594393	EC 2.4.1.135
C000594403	EC 2.3.2.27
C000594512	EC 2.7.7.19
C000594530	EC 2.4.2.30
C000594563	EC 4.6.1.2
C000594591	EC 2.3.2.27
C000594648	EC 2.7.4.3
C000594665	EC 2.3.2.27
C000594769	EC 1.14.19.1
C000594796	EC 2.5.1.18
C000594807	EC 2.7.10.2
C000594830	EC 3.1.3.48
C000594845	EC 2.7.11.1
C000594849	EC 3.1.3.16
C000594851	EC 2.4.2.30
C000594864	EC 2.6.1.62
C000594975	EC 3.4.22.53
C000595040	EC 2.3.1.48
C000595065	EC 3.5.4.4
C000595124	EC 3.6.4.13
C000595151	EC 3.5.4.4
C000595173	EC 3.4.21.36
C000595188	EC 3.5.1.1
C000595218	EC 4.1.1.28
C000595276	EC 3.5.2.6
C000595277	EC 3.5.2.6
C000595354	EC 2.7.4.6
C000595355	EC 3.1.26.3
C000595356	EC 3.5.4.37
C000595361	EC 3.1.4.11
C000595376	EC 2.7.1.105
C000595378	EC 6.2.1.1
C000595379	EC 6.2.1.1
C000595435	EC 5.3.4.1
C000595436	EC 2.7.11.17
C000595496	EC 2.7.11.1
C000595497	EC 3.1.3.16
C000595529	EC 3.1.3.16
C000595571	EC 2.7.1.127
C000595656	EC 2.5.1.75
C000595665	EC 2.3.2.27
C000595694	EC 3.4.19.12
C000595809	EC 3.4.25.1
C000595892	EC 6.1.1.16
C000595917	EC 2.7.10.1
C000595922	EC 1.17.5.2
C000595964	EC 3.1.4.17
C000595967	EC 3.4.24.69
C000596010	EC 2.7.7.19
C000596017	EC 2.7.1.67
C000596018	EC 2.7.1.67
C000596030	EC 3.6.4.2
C000596115	EC 2.3.2.27
C000596117	EC 2.3.2.27
C000596162	EC 2.7.10.1
C000596166	EC 3.2.1.14
C000596170	EC 2.7.11.1
C000596363	EC 3.5.2.6
C000596430	EC 2.4.2.30
C000596432	EC 1.2.1.3
C000596545	EC 3.4.19.12
C000596639	EC 3.6.1.3
C000596671	EC 2.7.11.1
C000596730	EC 2.3.2.27
C000596781	EC 2.3.2.27
C000596816	EC 2.7.1.19
C000596950	EC 2.5.1.1
C000596988	EC 3.5.2.6
C000597009	EC 3.1.1.23
C000597013	EC 2.7.11.1
C000597018	EC 3.2.1.35
C000597091	EC 1.11.1.9
C000597110	EC 2.3.2.27
C000597196	EC 4.4.1.5
C000597198	EC 4.4.1.5
C000597251	EC 4.1.1.49
C000597358	EC 3.5.4.16
C000597421	EC 3.4.13.18
C000597422	EC 3.4.13.18
C000597423	EC 1.14.14.1
C000597451	EC 3.2.1.23
C000597536	EC 1.6.5.2
C000597602	EC 2.7.11.1
C000597689	EC 2.3.2.27
C000597753	EC 2.7.11.1
C000597754	EC 2.7.11.1
C000597889	EC 2.7.11.1
C000597893	EC 4.2.1.3
C000597964	EC 1.17.4.4
C000597966	EC 3.4.25.1
C000598049	EC 2.7.1.1
C000598202	EC 3.5.2.6
C000598222	EC 3.5.1.98
C000598255	EC 3.1.3.16
C000598269	EC 2.7.10.2
C000598273	EC 2.7.10.1
C000598275	EC 2.7.11.1
C000598332	EC 3.2.1.21
C000598372	EC 1.10.3.2
C000598429	EC 3.1.26.5
C000598433	EC 2.7.11.25
C000598469	EC 1.14.14.18
C000598578	EC 3.4.19.12
