Source Abbreviation	Term Type	Suppressible
MTH	PN	No
MTHCMSFRF	PT	No
RXNORM	SCD	No
RXNORM	SBD	No
RXNORM	SCDG	No
RXNORM	SBDG	No
RXNORM	IN	No
RXNORM	PSN	No
RXNORM	MIN	No
RXNORM	SCDF	No
RXNORM	SBDF	No
RXNORM	SCDC	No
RXNORM	BPCK	No
RXNORM	GPCK	No
RXNORM	DFG	No
RXNORM	DF	No
RXNORM	SBDC	No
RXNORM	BN	No
RXNORM	PIN	No
RXNORM	TMSY	No
RXNORM	SY	No
MSH	MH	No
MSH	TQ	No
MSH	PEP	No
MSH	ET	No
MSH	XQ	No
MSH	PXQ	No
MSH	NM	No
SNOMEDCT_US	PT	No
SNOMEDCT_US	FN	No
SNOMEDCT_US	SY	No
SNOMEDCT_US	PTGB	No
SNOMEDCT_US	SYGB	No
SNOMEDCT_US	MTH_PT	No
SNOMEDCT_US	MTH_FN	No
SNOMEDCT_US	MTH_SY	No
SNOMEDCT_US	MTH_PTGB	No
SNOMEDCT_US	MTH_SYGB	No
SNOMEDCT_US	SB	No
SNOMEDCT_US	XM	No
SNOMEDCT_VET	PT	No
SNOMEDCT_VET	FN	No
SNOMEDCT_VET	SY	No
SNOMEDCT_VET	SB	No
HPO	PT	No
HPO	SY	No
HPO	ET	No
NCBI	SCN	No
MTHSPL	MTH_RXN_DP	No
MTHSPL	DP	No
MTHSPL	SU	No
ATC	RXN_PT	No
ATC	PT	No
VANDF	PT	No
VANDF	CD	No
VANDF	IN	No
USP	CD	No
USP	IN	No
USPMG	HC	No
USPMG	PT	No
MMX	MTH_RXN_CD	No
MMX	MTH_RXN_BD	No
MMX	CD	No
MMX	BD	No
DRUGBANK	IN	No
DRUGBANK	SY	No
DRUGBANK	FSY	No
MSH	N1	No
MSH	PCE	No
MSH	CE	No
CPM	PT	No
NEU	PT	No
NEU	ACR	Yes
NEU	SY	No
FMA	PT	No
FMA	SY	No
FMA	AB	Yes
UWDA	PT	No
UWDA	SY	No
UMD	PT	No
UMD	SY	No
UMD	ET	No
UMD	RT	No
GS	CD	No
MMSL	CD	No
GS	MTH_RXN_BD	No
GS	BD	No
GS	IN	No
MMSL	MTH_RXN_BD	No
MMSL	BD	No
MMSL	SC	No
MMSL	MS	No
MMSL	GN	No
MMSL	BN	No
ATC	RXN_IN	No
ATC	IN	No
MMSL	IN	No
VANDF	AB	No
GS	MTH_RXN_CD	No
VANDF	MTH_RXN_CD	No
NDDF	MTH_RXN_CDC	No
NDDF	CDC	No
NDDF	CDD	No
NDDF	CDA	No
NDDF	IN	No
NDDF	DF	No
MED-RT	PT	No
MED-RT	FN	No
MED-RT	SY	No
SPN	PT	No
MDR	MTH_PT	No
MDR	PT	No
MDR	HG	No
MDR	MTH_HG	No
MDR	HT	No
MDR	MTH_HT	No
MDR	LLT	No
MDR	MTH_LLT	No
MDR	SMQ	No
MDR	MTH_SMQ	No
MDR	AB	Yes
CPT	PT	No
CPT	SY	No
CPT	ETCLIN	No
CPT	POS	No
CPT	GLP	No
CPT	ETCF	No
CPT	MP	No
HCPT	PT	No
HCPCS	PT	No
CDT	PT	No
MVX	PT	No
CVX	PT	No
CVX	RXN_PT	No
CVX	AB	No
HCDT	PT	No
HCPCS	MP	No
HCPT	MP	No
ICD10AE	PT	No
ICD10	PT	No
ICD10AE	PX	No
ICD10	PX	No
ICD10AE	PS	Yes
ICD10	PS	Yes
ICD10AMAE	PT	No
ICD10AM	PT	No
ICD10AMAE	PX	No
ICD10AM	PX	No
ICD10AMAE	PS	Yes
ICD10AM	PS	Yes
OMIM	PT	No
OMIM	PHENO	No
OMIM	PHENO_ET	No
OMIM	PTAV	No
OMIM	PTCS	No
OMIM	ETAL	No
OMIM	ET	No
OMIM	HT	No
OMIM	ACR	No
MEDCIN	PT	No
MEDCIN	FN	No
MEDCIN	XM	No
MEDCIN	SY	No
HGNC	PT	No
HGNC	ACR	No
HGNC	MTH_ACR	No
HGNC	NA	No
HGNC	SYN	No
HGNC	NP	No
HGNC	NS	No
ICNP	PT	No
ICNP	MTH_PT	No
ICNP	XM	No
PNDS	PT	No
PNDS	HT	No
PNDS	XM	No
NCI	PT	No
NCI	SY	No
NCI_BioC	PT	No
NCI_PI-RADS	PT	No
NCI_CareLex	PT	No
NCI_CDC	PT	No
NCI_CDISC	PT	No
NCI_DCP	PT	No
NCI_DTP	PT	No
NCI_CTRP	PT	No
NCI_FDA	PT	No
NCI_GDC	PT	No
NCI_CELLOSAURUS	PT	No
NCI_ICDC	PT	No
NCI_GENC	PT	No
NCI_CRCH	PT	No
NCI_DICOM	PT	No
NCI_CDISC-GLOSS	PT	No
NCI_BRIDG	PT	No
NCI_BRIDG_5_3	PT	No
NCI_BRIDG_3_0_3	PT	No
NCI_CTCAE	PT	No
NCI_EDQM-HC	PT	No
NCI_CTCAE_5	PT	No
NCI_CTCAE_3	PT	No
NCI_CTEP-SDC	PT	No
NCI_JAX	PT	No
NCI_ZFin	PT	No
NCI_NCI-GLOSS	PT	No
NCI_KEGG	PT	No
NCI_ICH	PT	No
NCI_NCI-HGNC	PT	No
NCI_NCI-HL7	PT	No
NCI_UCUM	PT	No
NCI_NICHD	PT	No
NCI_ACC-AHA	PT	No
NCI_NCPDP	PT	No
NCI_GAIA	PT	No
NCI_PID	PT	No
NCI_CBDD	PT	No
NCI_INC	PT	No
NCI	CSN	No
NCI	DN	No
NCI	FBD	No
NCI	HD	No
NCI	CCN	No
NCI	AD	No
NCI	CA2	No
NCI	CA3	No
NCI	BN	No
NCI	AB	No
NCI	CCS	No
NCI_ICH	AB	No
NCI_EDQM-HC	SY	No
NCI_BioC	SY	No
NCI_CareLex	SY	No
NCI_CDISC	SY	No
NCI_DCP	SY	No
NCI_DTP	SY	No
NCI_FDA	AB	No
NCI_CTRP	SY	No
NCI_CTRP	DN	No
NCI_FDA	SY	No
NCI_GDC	SY	No
NCI_ICDC	SY	No
NCI_GENC	CA2	No
NCI_GENC	CA3	No
NCI_CRCH	SY	No
NCI_CDISC-GLOSS	SY	No
NCI_BRIDG	SY	No
NCI_RENI	DN	No
NCI_CTEP-SDC	SY	No
NCI_JAX	SY	No
NCI_NCI-HL7	AB	No
NCI_NCI-HGNC	SY	No
NCI_UCUM	AB	No
NCI_KEGG	AB	No
NCI_KEGG	SY	No
NCI_NICHD	SY	No
NCI_CBDD	SY	No
NCI_GAIA	SY	No
NCI_INC	SY	No
NCI_ICH	SY	No
NCI_NCI-HL7	SY	No
NCI_UCUM	SY	No
NCI_NCPDP	SY	No
NCI_ZFin	SY	No
NCI_NCI-GLOSS	SY	No
NCI_NICHD	AB	No
PDQ	PT	No
PDQ	HT	No
PDQ	PSC	No
PDQ	SY	No
CHV	PT	No
MEDLINEPLUS	PT	No
MTHICPC2EAE	PT	No
ICPC2EENG	PT	No
MTHICPC2ICD10AE	PT	No
SOP	PT	No
ICF	HT	No
ICF	PT	No
ICF	MTH_HT	No
ICF	MTH_PT	No
ICF-CY	HT	No
ICF-CY	PT	No
ICF-CY	MTH_HT	No
ICF-CY	MTH_PT	No
ICPC2ICD10ENG	PT	No
ICPC	PX	No
ICPC	PT	No
ICPC	PS	Yes
ICPC	PC	No
ICPC	CX	No
ICPC	CP	No
ICPC	CS	Yes
ICPC	CC	No
ICPC2EENG	CO	No
ICPC	CO	No
MTHICPC2EAE	AB	Yes
ICPC2EENG	AB	Yes
ICPC2P	PTN	No
ICPC2P	MTH_PTN	No
ICPC2P	PT	No
