role_curie,role_label,chemical_count
CHEBI:25212,metabolite,4546
CHEBI:76924,plant metabolite,3127
CHEBI:35610,antineoplastic agent,1976
CHEBI:77746,human metabolite,1955
CHEBI:75771,mouse metabolite,1550
CHEBI:76969,bacterial metabolite,989
CHEBI:75772,Saccharomyces cerevisiae metabolite,760
CHEBI:53000,epitope,686
CHEBI:76971,Escherichia coli metabolite,675
CHEBI:51217,fluorochrome,536
CHEBI:76946,fungal metabolite,471
CHEBI:33282,antibacterial agent,468
CHEBI:76967,human xenobiotic metabolite,468
CHEBI:68495,apoptosis inducer,455
CHEBI:67079,anti-inflammatory agent,449
CHEBI:22586,antioxidant,354
CHEBI:35718,antifungal agent,349
CHEBI:35703,xenobiotic,334
CHEBI:76507,marine metabolite,328
CHEBI:149553,anticoronaviral agent,325
CHEBI:78298,environmental contaminant,324
CHEBI:33286,agrochemical,316
CHEBI:76956,Aspergillus metabolite,275
CHEBI:24527,herbicide,260
CHEBI:84087,human urinary metabolite,254
CHEBI:36047,antibacterial drug,241
CHEBI:86328,antifungal agrochemical,238
CHEBI:33281,antimicrobial agent,237
CHEBI:78804,Caenorhabditis elegans metabolite,236
CHEBI:176497,geroprotector,219
CHEBI:50113,androgen,215
CHEBI:75767,animal metabolite,214
CHEBI:63726,neuroprotective agent,207
CHEBI:50266,prodrug,196
CHEBI:86264,rat metabolite,187
CHEBI:49103,drug metabolite,182
CHEBI:50904,allergen,182
CHEBI:35674,antihypertensive agent,181
CHEBI:77178,histological dye,179
CHEBI:35617,flavouring agent,178
CHEBI:50903,carcinogenic agent,175
CHEBI:59174,hapten,169
CHEBI:59132,antigen,164
CHEBI:35475,non-steroidal anti-inflammatory drug,159
CHEBI:137684,Papio hamadryas metabolite,158
CHEBI:38068,antimalarial,158
CHEBI:27311,volatile oil component,157
CHEBI:35620,vasodilator agent,156
CHEBI:48578,radical scavenger,151
CHEBI:78675,fundamental metabolite,149
CHEBI:38462,EC 3.1.1.7 (acetylcholinesterase) inhibitor,141
CHEBI:84735,algal metabolite,141
CHEBI:76964,Penicillium metabolite,137
CHEBI:76976,bacterial xenobiotic metabolite,137
CHEBI:131604,Mycoplasma genitalium metabolite,129
CHEBI:22587,antiviral agent,127
CHEBI:85234,human blood serum metabolite,125
CHEBI:35469,antidepressant,121
CHEBI:35481,non-narcotic analgesic,119
CHEBI:35526,hypoglycemic agent,117
CHEBI:35623,anticonvulsant,114
CHEBI:24852,insecticide,113
CHEBI:23357,cofactor,111
CHEBI:50427,platelet aggregation inhibitor,107
CHEBI:75050,chromogenic compound,106
CHEBI:48279,serotonergic antagonist,105
CHEBI:83399,marine xenobiotic metabolite,105
CHEBI:25435,mutagen,101
CHEBI:48318,fragrance,101
CHEBI:48422,angiogenesis inhibitor,100
CHEBI:48876,muscarinic antagonist,96
CHEBI:76206,xenobiotic metabolite,96
CHEBI:76960,Chaetomium metabolite,92
CHEBI:35482,opioid analgesic,91
CHEBI:36044,antiviral drug,90
CHEBI:22153,acaricide,89
CHEBI:50910,neurotoxin,86
CHEBI:88188,drug allergen,86
CHEBI:35705,immunosuppressive agent,83
CHEBI:50629,cyclooxygenase 2 inhibitor,83
CHEBI:37733,EC 3.1.1.8 (cholinesterase) inhibitor,77
CHEBI:35717,sedative,76
CHEBI:37955,H1-receptor antagonist,75
CHEBI:38070,anti-arrhythmia drug,75
CHEBI:75768,mammalian metabolite,75
CHEBI:50857,anti-allergic agent,74
CHEBI:26013,pheromone,71
CHEBI:35474,anxiolytic drug,71
CHEBI:35472,anti-inflammatory drug,70
CHEBI:35941,serotonergic agonist,70
CHEBI:50733,nutraceutical,70
CHEBI:62868,hepatoprotective agent,68
CHEBI:61908,EC 1.14.13.39 (nitric oxide synthase) inhibitor,67
CHEBI:228364,NMR chemical shift reference compound,66
CHEBI:35221,antimetabolite,64
CHEBI:55322,mu-opioid receptor agonist,64
CHEBI:76498,coral metabolite,64
CHEBI:25442,mycotoxin,63
CHEBI:35523,bronchodilator agent,63
CHEBI:48561,dopaminergic antagonist,63
CHEBI:50919,antiemetic,63
CHEBI:77307,cardioprotective agent,63
CHEBI:50249,anticoagulant,62
CHEBI:50925,EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor,62
CHEBI:22333,alkylating agent,61
CHEBI:62434,EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor,61
CHEBI:35493,antipyretic,60
CHEBI:83056,Daphnia magna metabolite,60
CHEBI:37958,dye,59
CHEBI:51371,muscle relaxant,59
CHEBI:59163,biomarker,59
CHEBI:38215,calcium channel blocker,58
CHEBI:64946,anti-HIV agent,58
CHEBI:35480,analgesic,57
CHEBI:48001,protein synthesis inhibitor,54
CHEBI:50646,bone density conservation agent,53
