compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Drug.txt,UMLS:C0058773,Diphtheria-Tetanus Vaccine,biolink:Drug,2,MESH:D022422,Diphtheria-Tetanus Vaccine,moved,ComplexMolecularMixture.txt,biolink:ComplexMolecularMixture,2,2,"MESH:D022422 ""Diphtheria-Tetanus Vaccine""; UMLS:C0058773 ""Diphtheria-Tetanus Vaccine"""
Drug.txt,RXCUI:2101276,,biolink:Drug,3,MESH:C585824,anavip,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"MESH:C585824 ""anavip""; RXCUI:2101276 """"; UMLS:C3711858 ""Anavip"""
Drug.txt,RXCUI:2179754,,biolink:Drug,3,MESH:C000630669,Ogivri,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"MESH:C000630669 ""Ogivri""; RXCUI:2179754 """"; UMLS:C4721641 ""Ogivri"""
Drug.txt,RXCUI:2711790,,biolink:Drug,3,MESH:C000731746,,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"MESH:C000731746 """"; RXCUI:2711790 """"; UMLS:C6003442 ""Symbravo"""
Drug.txt,RXCUI:902750,,biolink:Drug,3,MESH:C558471,Hizentra,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"MESH:C558471 ""Hizentra""; RXCUI:902750 """"; UMLS:C2746518 ""Hizentra"""
Drug.txt,UMLS:C0534240,Opeguard MA,biolink:Drug,3,MESH:C103610,Opeguard MA,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"CAS:117925-70-9 """"; MESH:C103610 ""Opeguard MA""; UMLS:C0534240 ""Opeguard MA"""
Drug.txt,UMLS:C0612923,Correctol eyedrops,biolink:Drug,3,MESH:C029512,Correctol eyedrops,moved,ChemicalEntity.txt,biolink:ChemicalEntity,3,3,"CAS:80106-39-4 """"; MESH:C029512 ""Correctol eyedrops""; UMLS:C0612923 ""Correctol eyedrops"""
Drug.txt,RXCUI:1000086,,biolink:Drug,2,UMLS:C2930103,Lastacaft,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1000086 """"; UMLS:C2930103 ""Lastacaft"""
Drug.txt,RXCUI:1005925,,biolink:Drug,2,UMLS:C2927379,Ella,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1005925 """"; UMLS:C2927379 ""Ella"""
Drug.txt,RXCUI:1006555,,biolink:Drug,2,UMLS:C2927681,Clinpro 5000,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006555 """"; UMLS:C2927681 ""Clinpro 5000"""
Drug.txt,RXCUI:1006623,,biolink:Drug,2,UMLS:C2927699,Eprinex,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006623 """"; UMLS:C2927699 ""Eprinex"""
Drug.txt,RXCUI:1006633,,biolink:Drug,2,UMLS:C2927705,Heartgard Plus,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006633 """"; UMLS:C2927705 ""Heartgard Plus"""
Drug.txt,RXCUI:1006658,,biolink:Drug,2,UMLS:C2698102,CORID,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006658 """"; UMLS:C2698102 ""CORID"""
Drug.txt,RXCUI:1006814,,biolink:Drug,2,UMLS:C0700675,Valbazen,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006814 """"; UMLS:C0700675 ""Valbazen"""
Drug.txt,RXCUI:1006818,,biolink:Drug,2,UMLS:C2927783,Vetprofen,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006818 """"; UMLS:C2927783 ""Vetprofen"""
Drug.txt,RXCUI:1006852,,biolink:Drug,2,UMLS:C2927794,RFD,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006852 """"; UMLS:C2927794 ""RFD"""
Drug.txt,RXCUI:1006856,,biolink:Drug,2,UMLS:C2927798,Nemex,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006856 """"; UMLS:C2927798 ""Nemex"""
Drug.txt,RXCUI:1006860,,biolink:Drug,2,UMLS:C2927802,Strongid,moved,ChemicalEntity.txt,biolink:ChemicalEntity,2,2,"RXCUI:1006860 """"; UMLS:C2927802 ""Strongid"""
