compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
MolecularMixture.txt,PUBCHEM.COMPOUND:173032070,Lithium;cobalt;hydride;manganese;oxonickel,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:172996900,Lithium;hydride;manganese;nickel;oxocobalt,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:18189026,3-Methylphenylzinc bromide,biolink:MolecularMixture,6,PUBCHEM.COMPOUND:171375698,ZINC;methylbenzene;bromide,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,6,6,
MolecularMixture.txt,PUBCHEM.COMPOUND:4172048,4-Chlorophenylzinc iodide,biolink:MolecularMixture,6,PUBCHEM.COMPOUND:18189181,ZINC;chlorobenzene;iodide,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,6,6,
MolecularMixture.txt,PUBCHEM.COMPOUND:11072446,carbanide;bis([(Z)-C-(4-methylphenyl)-N-trimethylsilylcarbonimidoyl]-trimethylsilylazanide);zirconium(4+),biolink:MolecularMixture,5,PUBCHEM.COMPOUND:10963460,carbanide;bis([(E)-C-(4-methylphenyl)-N-trimethylsilylcarbonimidoyl]-trimethylsilylazanide);zirconium(4+),leader_changed,MolecularMixture.txt,biolink:MolecularMixture,5,5,
MolecularMixture.txt,PUBCHEM.COMPOUND:11957424,"ZINC methyl 3-[18-(3-methoxy-3-oxopropyl)-3,7,12,17-tetramethylporphyrin-21,23-diid-2-yl]propanoate",biolink:MolecularMixture,5,PUBCHEM.COMPOUND:11028395,"ZINC methyl 3-[18-(3-methoxy-3-oxopropyl)-3,8,13,17-tetramethylporphyrin-21,23-diid-2-yl]propanoate",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,5,5,
SmallMolecule.txt,PUBCHEM.COMPOUND:135716592,2-[(E)-(5-bromo-2-hydroxy-3-nitrophenyl)methylideneamino]-1-nitroguanidine,biolink:SmallMolecule,5,PUBCHEM.COMPOUND:135921231,1-[(E)-(5-bromo-2-hydroxy-3-nitrophenyl)methylideneamino]-2-nitroguanidine,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,5,5,
SmallMolecule.txt,PUBCHEM.COMPOUND:135727122,1-[(6-Chloro-3-pyridinyl)methyl]-2-nitro-3-propylguanidine,biolink:SmallMolecule,5,PUBCHEM.COMPOUND:15515236,2-[(6-Chloro-3-pyridinyl)methyl]-1-nitro-3-propylguanidine,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,5,5,
SmallMolecule.txt,PUBCHEM.COMPOUND:137300039,"1-[(E)-(2-hydroxy-3,5-dinitrophenyl)methylideneamino]-2-[(Z)-(2-hydroxy-3,5-dinitrophenyl)methylideneamino]guanidine",biolink:SmallMolecule,5,PUBCHEM.COMPOUND:135632030,"1-[(Z)-(2-hydroxy-3,5-dinitrophenyl)methylideneamino]-2-[(E)-(2-hydroxy-3,5-dinitrophenyl)methylideneamino]guanidine",leader_changed,SmallMolecule.txt,biolink:SmallMolecule,5,5,
SmallMolecule.txt,PUBCHEM.COMPOUND:15171099,1-[(6-Bromo-3-pyridinyl)methyl]-2-methyl-3-nitroguanidine,biolink:SmallMolecule,5,PUBCHEM.COMPOUND:135833317,1-[(6-Bromo-3-pyridinyl)methyl]-3-methyl-2-nitroguanidine,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,5,5,
MolecularMixture.txt,PUBCHEM.COMPOUND:173551827,Sodium;cobalt;hydride;manganese;oxonickel,biolink:MolecularMixture,5,PUBCHEM.COMPOUND:173527128,Sodium;cobalt;hydride;nickel;oxomanganese,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,5,5,
