gard_id,gard_label,target,target_label,clique_leader,clique_type,clique_members_joined
GARD:28365,22q Telomere Deletion Syndrome,NCIT:C75478,22q Telomere Deletion Syndrome,UMLS:C2699200,biolink:Disease,2
GARD:28366,5' 10' Methylenetetrahydrofolate Reductase Deficiency,NCIT:C84524,5' 10' Methylenetetrahydrofolate Reductase Deficiency,MONDO:0009353,biolink:Disease,13
GARD:28334,Acampomelic Campomelic Dysplasia,NCIT:C120205,Acampomelic Campomelic Dysplasia,MONDO:0007251,biolink:Disease,15
GARD:28278,Acanthomatous Ameloblastoma,NCIT:C39754,Acanthomatous Ameloblastoma,UMLS:C0457531,biolink:Disease,3
GARD:28327,Acute transplant rejection,MONDO:1010187,acute transplant rejection,MONDO:1010187,biolink:Disease,1
GARD:27467,Aggressive Systemic Mastocytosis with an Associated Germ Cell Tumor,NCIT:C186732,Aggressive Systemic Mastocytosis with an Associated Germ Cell Tumor,UMLS:C5670725,biolink:Disease,2
GARD:28304,Akaba Hayasaka syndrome,MONDO:0021834,Akaba Hayasaka syndrome,MONDO:0021834,biolink:Disease,4
GARD:28301,Alazami-Yuan syndrome,MONDO:0014931,Alazami-Yuan syndrome,MONDO:0014931,biolink:Disease,5
GARD:28240,ALK-Positive Histiocytosis,NCIT:C200105,ALK-Positive Histiocytosis,UMLS:C5856100,biolink:Disease,2
GARD:28284,Ameloblastic Carcinoma Derived From Odontogenic Cyst,NCIT:C7497,Ameloblastic Carcinoma Derived From Odontogenic Cyst,UMLS:C1332242,biolink:Disease,2
GARD:27509,Ameloblastic Carcinoma-Primary Type,NCIT:C7493,Ameloblastic Carcinoma-Primary Type,UMLS:C1333260,biolink:Disease,3
GARD:28283,Ameloblastic Carcinoma-Secondary Type (Dedifferentiated),NCIT:C7496,Ameloblastic Carcinoma-Secondary Type (Dedifferentiated),UMLS:C1332241,biolink:Disease,2
GARD:27500,"Ameloblastic Carcinoma-Secondary Type (Dedifferentiated), Intraosseous",NCIT:C54298,"Ameloblastic Carcinoma-Secondary Type (Dedifferentiated), Intraosseous",UMLS:C1706789,biolink:Disease,2
GARD:27501,"Ameloblastic Carcinoma-Secondary Type (Dedifferentiated), Peripheral",NCIT:C54299,"Ameloblastic Carcinoma-Secondary Type (Dedifferentiated), Peripheral",UMLS:C1706790,biolink:Disease,2
