compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,DOID:0050424,familial adenomatous polyposis,biolink:Disease,32,MONDO:0021055,classic familial adenomatous polyposis,regrouped,Disease.txt,biolink:Disease,34,32,"DOID:0050424 ""familial adenomatous polyposis""; DOID:0080409 ""familial adenomatous polyposis 1""; ICD10:D13.91 """"; MEDDRA:10017727 """"; MEDDRA:10036135 """""
Disease.txt,MONDO:0010029,situs inversus,biolink:Disease,34,MONDO:0001734,tuberous sclerosis,regrouped,Disease.txt,biolink:Disease,21,19,"DOID:0080324 ""tuberous sclerosis 1""; DOID:13515 ""tuberous sclerosis""; ICD10:Q85.1 """"; ICD9:759.5 """"; MEDDRA:10015057 """""
Disease.txt,DOID:2732,Rothmund-Thomson syndrome,biolink:Disease,16,MONDO:0010002,Rothmund-Thomson syndrome,regrouped,Disease.txt,biolink:Disease,18,16,"DOID:2732 ""Rothmund-Thomson syndrome""; MEDDRA:10052465 """"; MEDDRA:10052510 """"; MESH:D011038 ""Rothmund-Thomson Syndrome""; NCIT:C178826 ""Rothmund-Thomson Syndrome Type 1"""
Disease.txt,MONDO:0016063,Cowden disease,biolink:Disease,30,MONDO:0017623,PTEN hamartoma tumor syndrome,regrouped,Disease.txt,biolink:Disease,17,15,"DOID:0050657 ""Cowden syndrome 1""; ICD10:Q85.81 """"; MEDDRA:10074067 """"; MESH:C537716 ""Macrocephaly mesodermal hamartoma spectrum""; MESH:D016715 ""Proteus Syndrome"""
Disease.txt,DOID:0070365,nevoid basal cell carcinoma syndrome 1,biolink:Disease,13,MONDO:0007187,nevoid basal cell carcinoma syndrome,regrouped,Disease.txt,biolink:Disease,15,13,"DOID:0070365 ""nevoid basal cell carcinoma syndrome 1""; DOID:2512 ""nevoid basal cell carcinoma syndrome""; MEDDRA:10004151 """"; MEDDRA:10062804 """"; MEDDRA:10078877 """""
Disease.txt,DOID:0111503,Li-Fraumeni syndrome 1,biolink:Disease,12,MONDO:0018875,Li-Fraumeni syndrome,regrouped,Disease.txt,biolink:Disease,14,12,"DOID:0111503 ""Li-Fraumeni syndrome 1""; DOID:3012 ""Li-Fraumeni syndrome""; MEDDRA:10066795 """"; MESH:C567189 ""Li-Fraumeni-Like Syndrome""; MESH:D016864 ""Li-Fraumeni Syndrome"""
Disease.txt,MONDO:0006365,Peutz-Jeghers polyp,biolink:Disease,18,MONDO:0008280,Peutz-Jeghers syndrome,regrouped,Disease.txt,biolink:Disease,14,12,"DOID:3852 ""Peutz-Jeghers syndrome""; MEDDRA:10034764 """"; MESH:D010580 ""Peutz-Jeghers Syndrome""; NCIT:C3324 ""Peutz-Jeghers Syndrome""; NCIT:C7755 ""Peutz-Jeghers Polyp of the Small Intestine"""
Disease.txt,DOID:0111252,vestibular schwannomatosis,biolink:Disease,11,MONDO:0007039,NF2-related schwannomatosis,regrouped,Disease.txt,biolink:Disease,13,11,"DOID:0111252 ""vestibular schwannomatosis""; ICD10:Q85.02 """"; ICD9:237.72 """"; MEDDRA:10029271 """"; MESH:D016518 ""Neurofibromatosis 2"""
Disease.txt,DOID:0070648,cherubism,biolink:Disease,10,MONDO:0007315,cherubism,regrouped,Disease.txt,biolink:Disease,12,10,"DOID:0070648 ""cherubism""; DOID:1856 ""cherubism 1""; MEDDRA:10070535 """"; MEDDRA:10070536 """"; MESH:D002636 ""Cherubism"""
Disease.txt,DOID:0080141,mosaic variegated aneuploidy syndrome 1,biolink:Disease,8,MONDO:0000141,mosaic variegated aneuploidy syndrome,regrouped,Disease.txt,biolink:Disease,10,8,"DOID:0080141 ""mosaic variegated aneuploidy syndrome 1""; DOID:0080688 ""mosaic variegated aneuploidy syndrome""; MESH:C536987 ""Mosaic variegated aneuploidy syndrome""; NCIT:C128192 ""Mosaic Variegated Aneuploidy Syndrome 1""; OMIM.PS:257300 """""
Disease.txt,DOID:14515,WAGR syndrome,biolink:Disease,8,MONDO:0008681,WAGR syndrome,regrouped,Disease.txt,biolink:Disease,10,8,"DOID:14515 ""WAGR syndrome""; MEDDRA:10091877 """"; MESH:D017624 ""WAGR Syndrome""; NCIT:C3718 ""WAGR Syndrome""; OMIM:194072 """""
Disease.txt,DOID:2729,dyskeratosis congenita,biolink:Disease,8,MONDO:0015780,dyskeratosis congenita,regrouped,Disease.txt,biolink:Disease,10,8,"DOID:2729 ""dyskeratosis congenita""; MEDDRA:10062759 """"; MESH:D019871 ""Dyskeratosis Congenita""; NCIT:C111802 ""Dyskeratosis Congenita""; OMIM.PS:127550 """""
