namespace,namespace_after_norm,hasdbxref_rows,distinct_subjects,distinct_targets,targets_claimed_by_2plus,worst_fanout,exactmatch_rows_in_concord
MEDGEN,MEDGEN,21658,21658,21658,0,1,21738
UMLS,UMLS,21658,21658,21658,0,1,21738
GARD,GARD,15930,15930,15930,0,1,0
DOID,DOID,11944,11767,11944,0,1,11921
OMIM,OMIM,9904,9807,9904,0,1,9960
Orphanet,orphanet,9163,9051,9163,0,1,8551
SCTID,SCTID,9013,8880,9011,2,2,0
MESH,MESH,8091,8004,8088,3,2,8121
NCIT,NCIT,7378,7322,7378,0,1,7329
ICD9,ICD9,5554,4297,3908,419,167,0
VeNom,VeNom,5193,5045,5193,0,1,0
icd11.foundation,icd11.foundation,4569,4521,4568,1,2,0
OMIA,OMIA,3196,3184,3183,6,4,0
EFO,EFO,2387,2387,2387,0,1,2379
NANDO,NANDO,2244,1500,2087,143,3,0
ICD10CM,ICD10CM,2114,2089,2086,20,5,2030
MedDRA,MedDRA,1471,1398,1443,26,3,0
NORD,NORD,908,908,907,1,2,0
ICDO,ICDO,768,710,731,28,6,0
OMIMPS,OMIMPS,614,612,614,0,1,0
HP,HP,557,552,555,2,2,0
ONCOTREE,ONCOTREE,555,552,555,0,1,0
ICD10WHO,ICD10WHO,206,205,206,0,1,0
Wikipedia,Wikipedia,83,83,80,2,3,0
GTR,GTR,71,35,71,0,1,0
DECIPHER,DECIPHER,61,59,61,0,1,0
HGNC,HGNC,48,46,46,2,2,0
CSP,CSP,39,37,38,1,2,0
PMID,PMID,27,25,27,0,1,0
birnlex,birnlex,15,15,15,0,1,0
MFOMD,MFOMD,3,3,3,0,1,0
OGMS,OGMS,2,2,2,0,1,0
ICD9CM,ICD9CM,2,2,2,0,1,0
SCDO,SCDO,2,2,2,0,1,0
NDFRT,NDFRT,1,1,1,0,1,0
IDO,IDO,1,1,1,0,1,0
OBI,OBI,1,1,1,0,1,0
MTH,MTH,1,1,1,0,1,0
MPATH,MPATH,1,1,1,0,1,0
